Nombre completo,¿Qué prefieres hacer en tus ratos libres?,¿Cómo te ves a ti mismo? Como alguien...,¿En 10 años te ves trabajando con...?,Quisiera que mi espacio laboral fuera...,"Si pudiera elegir, en mi trabajo tendría que...",Quisiera un trabajo:,En mi trabajo me gustaría que mi relación con los demás fuera...,Trabajaría en un lugar en el que las actividades cotidianas estuvieran relacionadas con...,Me gustaría un trabajo que se centrara en...,"Cuando trabaje, me gustaría destacarme por...",En mi trabajo me gustaría responder por:,¿Cuál sería el tema principal de tu trabajo?,¿En cuál de estos sectores te gustaría trabajar?,¿Cuáles son las materias que te gustan MÁS?,¿Cuáles son las materias que te gustan MENOS?,¿En qué sientes que te va mejor? En temas relacionados con...,¿En qué materias te va MEJOR?,¿En qué materias NO TE VA BIEN?
Gema Montero-Tejero,"Practicar deporte o construir cosas, Hacer actividades artisticas","Hábil. Soy bueno para el trabajo manual, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Información y datos, para clasificar y analizar","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Actuar por mi cuenta sin necesidad de que me supervisen, Entender las necesidades de los demás y ayudarlos a solucionarlas",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, Los recursos naturales, el campo y los animales, El bienestar económico de las personas y paises","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Lengua castellana","Ciencias sociales, Educación física, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Matemáticas, Física, Biología y química","Educación Física, Ciencias económicas y políticas, Educación artística"
Ángeles Fernandez Campoy,"Leer o hacer experimentos, Escuchar y conversas con mis amigos","Curioso. Me gusta entender el porqué de las cosas, Hábil. Soy bueno para el trabajo manual","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, El aprendizaje de niños, jóvenes y adultos, El bienestar económico de las personas y paises","Investigación en ciencias básicas y aplicadas, Salud, Agropecuario","Física, Biología y química, Matemáticas","Educación artística, Educación física, Ciencias sociales","Las matemáticas: el cálculo, los símbolos y la lógica, La creación y representación de objetos e imágenes",Ciencias sociales,"Educación artística, Lengua castellana, Matemáticas"
Mohamed Vendrell Alegre,"Practicar deporte o construir cosas, Leer o hacer experimentos","Hábil. Soy bueno para el trabajo manual, Líder. Me divierte tomar la iniciativa","Herramientas que me permitan construir y crear, Creaciones propias relacionadas con el arte","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Sistematizar y procesar información o números, Experimentar, investigar y producir conocimiento","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Entender las necesidades de los demás y ayudarlos a solucionarlas, Actuar por mi cuenta sin necesidad de que me supervisen",Mis resultados,"El desarrollo y el funcionamiento de objetos, El ser humano y su relación con la sociedad, El diseño, música, baile, teatro y cocina",Desarrollo humano y social,"Matemáticas, Física, Educación física","Ciencias sociales, Lengua castellana, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Matemáticas, Física, Ciencias sociales","Lengua castellana, Educación artística, Educación Física"
Bernardita Mate Jover,"Practicar deporte o construir cosas, Escuchar y conversas con mis amigos","Hábil. Soy bueno para el trabajo manual, Líder. Me divierte tomar la iniciativa",Herramientas que me permitan construir y crear,"Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Usar diferentes herramientas y tecnología,"El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Actuar por mi cuenta sin necesidad de que me supervisen, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, El ser humano y su relación con la sociedad, El bienestar económico de las personas y paises",Educación,"Matemáticas, Física, Educación física","Ciencias sociales, Lengua castellana, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, La expresión corporal: actividades físicas como deportes, danza o actuación","Matemáticas, Física, Ciencias sociales","Lengua castellana, Educación artística, Educación Física"
Teodora Ramis Julián,"Hacer actividades artisticas, Escuchar y conversas con mis amigos","Imaginativo. Me expreso creativamente, Hábil. Soy bueno para el trabajo manual","Personas, enseñando o cuidando de ellas","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Dirigir y coordinar gente para desarrollar proyectos","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar",Actuar por mi cuenta sin necesidad de que me supervisen,Mi trabajo y mi equipo,"El diseño, música, baile, teatro y cocina","Cultural y artístico, Educación, Ambiental","Educación artística, Lengua castellana, Biología y química","Matemáticas, Física, Educación física","Las personas, el relacionamiento y comunicación con otros, La expresión corporal: actividades físicas como deportes, danza o actuación","Educación artística, Lengua castellana, Educación física","Ciencias sociales, Matemáticas, Educación Física"
Etelvina Pereira Palacio,Practicar deporte o construir cosas,"Curioso. Me gusta entender el porqué de las cosas, Sociable. Disfruto compartir con otros","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Dirigir y coordinar gente para desarrollar proyectos, Crear por medio del diseño, dibujo o música","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Actuar por mi cuenta sin necesidad de que me supervisen,Mis resultados,"La naturaleza, el universo y su funcionamiento, El diseño, música, baile, teatro y cocina, El desarrollo y el funcionamiento de objetos",Seguridad y defensa,"Educación física, Educación artística, Lengua castellana","Física, Biología y química, Ciencias sociales","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Física, Biología y química, Matemáticas","Educación artística, Ciencias sociales, Ciencias económicas y políticas"
Narcisa Hervás Luís,"Escuchar y conversas con mis amigos, Hacer actividades artisticas","Imaginativo. Me expreso creativamente, Hábil. Soy bueno para el trabajo manual","Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Crear por medio del diseño, dibujo o música","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, El ser humano y su relación con la sociedad, La naturaleza, el universo y su funcionamiento","Educación, Desarrollo humano y social, Distribución y suministro de electricidad, agua y gas","Ciencias sociales, Lengua castellana, Matemáticas","Física, Biología y química, Educación física","Las personas, el relacionamiento y comunicación con otros, Las matemáticas: el cálculo, los símbolos y la lógica","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química"
Rebeca de Lamas,"Escuchar y conversas con mis amigos, Ordenar mi espacio y mis actividades","Sociable. Disfruto compartir con otros, Curioso. Me gusta entender el porqué de las cosas","Personas, enseñando o cuidando de ellas, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Usar diferentes herramientas y tecnología, Enseñar, aconsejar o cuidar de personas","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El aprendizaje de niños, jóvenes y adultos","Educación, Desarrollo humano y social, Agropecuario","Ciencias sociales, Lengua castellana, Educación artística","Educación física, Ciencias económicas y políticas, Física","Las personas, el relacionamiento y comunicación con otros, La naturaleza, con la comprensión y sensibilidad del entorno natural","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química"
Ámbar de Haro,"Leer o hacer experimentos, Practicar deporte o construir cosas","Curioso. Me gusta entender el porqué de las cosas, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Personas, enseñando o cuidando de ellas","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Usar diferentes herramientas y tecnología,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros, Entender las necesidades de los demás y ayudarlos a solucionarlas",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, Los recursos naturales, el campo y los animales, El aprendizaje de niños, jóvenes y adultos","Investigación en ciencias básicas y aplicadas, Salud, Educación","Física, Educación artística, Matemáticas","Ciencias económicas y políticas, Lengua castellana, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Lengua castellana, Física","Educación artística, Matemáticas, Biología y química"
Adela Briones Montoya,"Escuchar y conversas con mis amigos, Buscar y proponer nuevos planes","Sociable. Disfruto compartir con otros, Organizado. Prefiero tener claro lo que voy a hacer","Personas, enseñando o cuidando de ellas, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Enseñar, aconsejar o cuidar de personas","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, El desarrollo y el funcionamiento de objetos, El diseño, música, baile, teatro y cocina","Desarrollo humano y social, Cultural y artístico","Ciencias económicas y políticas, Matemáticas, Lengua castellana","Biología y química, Física, Educación física","Las palabras, escritas o habladas, esa es tu forma de expresarte, La expresión corporal: actividades físicas como deportes, danza o actuación",Lengua castellana,"Matemáticas, Física, Ciencias sociales"
Javier Agustín Silva,"Leer o hacer experimentos, Hacer actividades artisticas",Organizado. Prefiero tener claro lo que voy a hacer,"Información y datos, para clasificar y analizar, Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Usar diferentes herramientas y tecnología, Sistematizar y procesar información o números","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Actuar por mi cuenta sin necesidad de que me supervisen, Trabajar en equipo, tener en cuenta las ideas de los otros","Mi trabajo, el de mi equipo y el impacto que genere","El aprendizaje de niños, jóvenes y adultos","Investigación en ciencias básicas y aplicadas, Salud, Seguridad y defensa","Física, Biología y química, Matemáticas","Lengua castellana, Ciencias sociales, Educación artística","Las matemáticas: el cálculo, los símbolos y la lógica, La expresión corporal: actividades físicas como deportes, danza o actuación","Física, Biología y química, Matemáticas","Educación artística, Educación Física, Ciencias sociales"
Vidal Arrieta-Criado,"Leer o hacer experimentos, Practicar deporte o construir cosas","Curioso. Me gusta entender el porqué de las cosas, Imaginativo. Me expreso creativamente","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Usar diferentes herramientas y tecnología, Sistematizar y procesar información o números","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Entender las necesidades de los demás y ayudarlos a solucionarlas,"Mi trabajo, el de mi equipo y el impacto que genere","La naturaleza, el universo y su funcionamiento, La salud y el funcionamiento del cuerpo, El bienestar económico de las personas y paises",Logística y transporte,"Física, Biología y química, Matemáticas","Ciencias sociales, Educación física, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte",Ciencias económicas y políticas,"Educación artística, Matemáticas, Biología y química"
Valeria de Bayona,"Hacer actividades artisticas, Practicar deporte o construir cosas","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Personas, enseñando o cuidando de ellas","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Enseñar, aconsejar o cuidar de personas, Experimentar, investigar y producir conocimiento","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales, La salud y el funcionamiento del cuerpo","Cultural y artístico, Educación, Minero y energético","Educación artística, Lengua castellana, Ciencias sociales","Matemáticas, Física, Educación física","La creación y representación de objetos e imágenes, Las personas, el relacionamiento y comunicación con otros","Educación artística, Lengua castellana, Matemáticas","Biología y química, Ciencias económicas y políticas, Educación Física"
Patricia Conde Valenciano,Leer o hacer experimentos,"Curioso. Me gusta entender el porqué de las cosas, Organizado. Prefiero tener claro lo que voy a hacer","Información y datos, para clasificar y analizar, Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Enseñar, aconsejar o cuidar de personas, Crear por medio del diseño, dibujo o música","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Entender las necesidades de los demás y ayudarlos a solucionarlas","Mi trabajo, el de mi equipo y el impacto que genere",El desarrollo y el funcionamiento de objetos,"Ambiental, Comercio","Física, Biología y química, Matemáticas","Educación artística, Educación física, Lengua castellana","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Física, Biología y química, Matemáticas","Educación artística, Ciencias sociales, Ciencias económicas y políticas"
Vanesa Samanta Rivera Espada,"Practicar deporte o construir cosas, Leer o hacer experimentos","Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Herramientas que me permitan construir y crear, Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Dirigir y coordinar gente para desarrollar proyectos, Experimentar, investigar y producir conocimiento","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Entender las necesidades de los demás y ayudarlos a solucionarlas, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas","Mi trabajo, el de mi equipo y el impacto que genere","El ser humano y su relación con la sociedad, El bienestar económico de las personas y paises, El aprendizaje de niños, jóvenes y adultos","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Física, Matemáticas, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Matemáticas, Física, Biología y química","Ciencias sociales, Lengua castellana, Educación artística"
Concepción Romeu Hidalgo,"Leer o hacer experimentos, Ordenar mi espacio y mis actividades","Curioso. Me gusta entender el porqué de las cosas, Imaginativo. Me expreso creativamente","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Sistematizar y procesar información o números, Enseñar, aconsejar o cuidar de personas","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Actuar por mi cuenta sin necesidad de que me supervisen,Mis resultados,La salud y el funcionamiento del cuerpo,"Investigación en ciencias básicas y aplicadas, Salud, Ambiental","Física, Biología y química, Matemáticas","Educación artística, Educación física, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Física, Biología y química, Matemáticas","Educación artística, Ciencias sociales, Educación Física"
Gustavo Castilla Lucas,"Practicar deporte o construir cosas, Buscar y proponer nuevos planes","Hábil. Soy bueno para el trabajo manual, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Creaciones propias relacionadas con el arte","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Sistematizar y procesar información o números, Usar diferentes herramientas y tecnología","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Entender las necesidades de los demás y ayudarlos a solucionarlas,Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, El ser humano y su relación con la sociedad, El diseño, música, baile, teatro y cocina","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Educación física","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, La naturaleza, con la comprensión y sensibilidad del entorno natural","Matemáticas, Física, Educación física","Ciencias sociales, Lengua castellana, Educación artística"
África Agustí Yuste,Hacer actividades artisticas,"Hábil. Soy bueno para el trabajo manual, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Creaciones propias relacionadas con el arte","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento, Sistematizar y procesar información o números","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Entender las necesidades de los demás y ayudarlos a solucionarlas",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, Los recursos naturales, el campo y los animales, La salud y el funcionamiento del cuerpo","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Biología y química"
Sara Soto Francisco,"Leer o hacer experimentos, Ordenar mi espacio y mis actividades","Curioso. Me gusta entender el porqué de las cosas, Líder. Me divierte tomar la iniciativa","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Dirigir y coordinar gente para desarrollar proyectos, Usar diferentes herramientas y tecnología","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar",Entender las necesidades de los demás y ayudarlos a solucionarlas,Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, El ser humano y su relación con la sociedad, La salud y el funcionamiento del cuerpo","Investigación en ciencias básicas y aplicadas, Salud, Administración pública","Física, Biología y química, Matemáticas","Educación artística, Educación física, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, La naturaleza, con la comprensión y sensibilidad del entorno natural","Física, Biología y química, Matemáticas","Educación artística, Lengua castellana, Educación Física"
Angélica Casanovas Romero,Buscar y proponer nuevos planes,"Sociable. Disfruto compartir con otros, Curioso. Me gusta entender el porqué de las cosas","Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Enseñar, aconsejar o cuidar de personas, Dirigir y coordinar gente para desarrollar proyectos","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, La salud y el funcionamiento del cuerpo, El bienestar económico de las personas y paises","Servicios a la comunidad, recreación y bienestar, Distribución y suministro de electricidad, agua y gas, Desarrollo humano y social","Lengua castellana, Educación física, Ciencias económicas y políticas","Matemáticas, Física, Educación artística","Las personas, el relacionamiento y comunicación con otros, La expresión corporal: actividades físicas como deportes, danza o actuación","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
Crescencia Vives-Giménez,"Hacer actividades artisticas, Practicar deporte o construir cosas","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Personas, enseñando o cuidando de ellas","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Entender las necesidades de los demás y ayudarlos a solucionarlas, Comunicarme con los demás, escuchar sus ideas y transmitir las mias","Mi trabajo, el de mi equipo y el impacto que genere","El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales, El ser humano y su relación con la sociedad","Cultural y artístico, Educación, Industrial agropecuario","Educación artística, Lengua castellana, Física","Matemáticas, Biología y química, Ciencias sociales","La creación y representación de objetos e imágenes, La naturaleza, con la comprensión y sensibilidad del entorno natural",Educación física,"Educación Física, Biología y química, Ciencias económicas y políticas"
Marciano Calleja Jiménez,"Escuchar y conversas con mis amigos, Ordenar mi espacio y mis actividades","Sociable. Disfruto compartir con otros, Hábil. Soy bueno para el trabajo manual","Personas, enseñando o cuidando de ellas, Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar",Actuar por mi cuenta sin necesidad de que me supervisen,Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, El bienestar económico de las personas y paises, El ser humano y su relación con la sociedad",Educación,"Ciencias sociales, Lengua castellana, Matemáticas","Física, Educación física, Biología y química","Las personas, el relacionamiento y comunicación con otros, Las palabras, escritas o habladas, esa es tu forma de expresarte","Educación artística, Educación física, Biología y química","Matemáticas, Física, Educación Física"
Manuelita Torrent Bosch,"Escuchar y conversas con mis amigos, Hacer actividades artisticas","Sociable. Disfruto compartir con otros, Curioso. Me gusta entender el porqué de las cosas","Personas, enseñando o cuidando de ellas, Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar",Actuar por mi cuenta sin necesidad de que me supervisen,Mis resultados,"El aprendizaje de niños, jóvenes y adultos, La salud y el funcionamiento del cuerpo, Los recursos naturales, el campo y los animales","Educación, Desarrollo humano y social, Industrial manufacturero","Ciencias sociales, Lengua castellana, Física","Matemáticas, Biología y química, Ciencias económicas y políticas","Las personas, el relacionamiento y comunicación con otros, La expresión corporal: actividades físicas como deportes, danza o actuación","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación Física"
Clementina Brígida Aznar Diego,"Escuchar y conversas con mis amigos, Leer o hacer experimentos","Sociable. Disfruto compartir con otros, Imaginativo. Me expreso creativamente","Personas, enseñando o cuidando de ellas, Creaciones propias relacionadas con el arte","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Enseñar, aconsejar o cuidar de personas","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar",Entender las necesidades de los demás y ayudarlos a solucionarlas,Mis resultados,"El aprendizaje de niños, jóvenes y adultos, La salud y el funcionamiento del cuerpo, El desarrollo y el funcionamiento de objetos","Educación, Desarrollo humano y social, Salud","Lengua castellana, Educación física, Ciencias económicas y políticas","Matemáticas, Física, Educación artística","Las personas, el relacionamiento y comunicación con otros, La naturaleza, con la comprensión y sensibilidad del entorno natural","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
